t,x,y
1737.1,8.25017e+06,2.54646e+06
1747.2,8.30789e+06,2.4823e+06
1757.3,8.3651e+06,2.41799e+06
1767.4,8.42179e+06,2.35352e+06
1777.5,8.47797e+06,2.28892e+06
1787.6,8.53364e+06,2.22417e+06
1797.7,8.58881e+06,2.1593e+06
1807.8,8.64347e+06,2.0943e+06
1817.9,8.69764e+06,2.02917e+06
1828,8.7513e+06,1.96393e+06
1838.1,8.80448e+06,1.89858e+06
1848.2,8.85716e+06,1.83313e+06
1858.3,8.90936e+06,1.76757e+06
1868.4,8.96107e+06,1.70192e+06
1878.5,9.0123e+06,1.63618e+06
1888.6,9.06306e+06,1.57035e+06
1898.7,9.11334e+06,1.50443e+06
1908.8,9.16316e+06,1.43844e+06
1918.9,9.2125e+06,1.37238e+06
1929,9.26139e+06,1.30625e+06
1939.1,9.30981e+06,1.24005e+06
1949.2,9.35777e+06,1.1738e+06
1959.3,9.40528e+06,1.10748e+06
1969.4,9.45235e+06,1.04111e+06
1979.5,9.49896e+06,974697
1989.6,9.54513e+06,908234
1999.7,9.59086e+06,841730
2009.8,9.63616e+06,775188
2019.9,9.68102e+06,708610
2030,9.72545e+06,642001
2040.1,9.76945e+06,575364
2050.2,9.81303e+06,508702
2060.3,9.85619e+06,442018
2070.4,9.89893e+06,375315
2080.5,9.94126e+06,308597
2090.6,9.98317e+06,241865
2100.7,1.00247e+07,175124
2110.8,1.00658e+07,108376
2120.9,1.01065e+07,41623.9
2131,1.01468e+07,-25130.1
2141.1,1.01867e+07,-91883.2
2151.2,1.02262e+07,-158633
2161.3,1.02654e+07,-225376
2171.4,1.03041e+07,-292111
2181.5,1.03425e+07,-358836
2191.6,1.03804e+07,-425547
2201.7,1.0418e+07,-492242
2211.8,1.04553e+07,-558920
2221.9,1.04921e+07,-625579
2232,1.05286e+07,-692215
2242.1,1.05648e+07,-758827
2252.2,1.06005e+07,-825414
2262.3,1.06359e+07,-891972
2272.4,1.0671e+07,-958501
2282.5,1.07057e+07,-1.025e+06
2292.6,1.07401e+07,-1.09146e+06
2302.7,1.07741e+07,-1.15789e+06
2312.8,1.08077e+07,-1.22428e+06
2322.9,1.0841e+07,-1.29063e+06
2333,1.0874e+07,-1.35695e+06
2343.1,1.09067e+07,-1.42322e+06
2353.2,1.0939e+07,-1.48944e+06
2363.3,1.0971e+07,-1.55562e+06
2373.4,1.10026e+07,-1.62176e+06
2383.5,1.10339e+07,-1.68785e+06
2393.6,1.10649e+07,-1.75389e+06
2403.7,1.10956e+07,-1.81987e+06
2413.8,1.1126e+07,-1.88581e+06
2423.9,1.11561e+07,-1.95169e+06
2434,1.11858e+07,-2.01752e+06
2444.1,1.12152e+07,-2.08329e+06
2454.2,1.12443e+07,-2.149e+06
2464.3,1.12732e+07,-2.21466e+06
2474.4,1.13017e+07,-2.28026e+06
2484.5,1.13299e+07,-2.34579e+06
2494.6,1.13578e+07,-2.41127e+06
2504.7,1.13854e+07,-2.47668e+06
2514.8,1.14128e+07,-2.54203e+06
2524.9,1.14398e+07,-2.60731e+06
2535,1.14666e+07,-2.67253e+06
2545.1,1.1493e+07,-2.73768e+06
2555.2,1.15192e+07,-2.80277e+06
2565.3,1.15451e+07,-2.86778e+06
2575.4,1.15708e+07,-2.93273e+06
2585.5,1.15961e+07,-2.9976e+06
2595.6,1.16212e+07,-3.06241e+06
2605.7,1.1646e+07,-3.12714e+06
2615.8,1.16705e+07,-3.1918e+06
2625.9,1.16948e+07,-3.25639e+06
2636,1.17188e+07,-3.32091e+06
2646.1,1.17425e+07,-3.38535e+06
2656.2,1.1766e+07,-3.44971e+06
2666.3,1.17892e+07,-3.514e+06
2676.4,1.18121e+07,-3.57821e+06
2686.5,1.18348e+07,-3.64234e+06
2696.6,1.18573e+07,-3.7064e+06
2706.7,1.18795e+07,-3.77037e+06
2716.8,1.19014e+07,-3.83427e+06
2726.9,1.19231e+07,-3.89809e+06
2737,1.19446e+07,-3.96183e+06
2747.1,1.19658e+07,-4.02548e+06
2757.2,1.19868e+07,-4.08906e+06
2767.3,1.20075e+07,-4.15255e+06
2777.4,1.2028e+07,-4.21597e+06
2787.5,1.20482e+07,-4.27929e+06
2797.6,1.20682e+07,-4.34254e+06
2807.7,1.2088e+07,-4.4057e+06
2817.8,1.21076e+07,-4.46878e+06
2827.9,1.21269e+07,-4.53177e+06
2838,1.2146e+07,-4.59468e+06
2848.1,1.21649e+07,-4.6575e+06
2858.2,1.21835e+07,-4.72024e+06
2868.3,1.2202e+07,-4.78289e+06
2878.4,1.22202e+07,-4.84546e+06
2888.5,1.22382e+07,-4.90793e+06
2898.6,1.22559e+07,-4.97032e+06
2908.7,1.22735e+07,-5.03263e+06
2918.8,1.22908e+07,-5.09484e+06
2928.9,1.2308e+07,-5.15697e+06
2939,1.23249e+07,-5.21901e+06
2949.1,1.23416e+07,-5.28096e+06
2959.2,1.23581e+07,-5.34283e+06
2969.3,1.23744e+07,-5.4046e+06
2979.4,1.23905e+07,-5.46628e+06
2989.5,1.24064e+07,-5.52788e+06
2999.6,1.24221e+07,-5.58938e+06
3009.7,1.24376e+07,-5.6508e+06
3019.8,1.24528e+07,-5.71212e+06
3029.9,1.24679e+07,-5.77336e+06
3040,1.24828e+07,-5.8345e+06
3050.1,1.24975e+07,-5.89556e+06
3060.2,1.25121e+07,-5.95652e+06
3070.3,1.25264e+07,-6.01739e+06
3080.4,1.25405e+07,-6.07817e+06
3090.5,1.25544e+07,-6.13886e+06
3100.6,1.25682e+07,-6.19946e+06
3110.7,1.25818e+07,-6.25997e+06
3120.8,1.25952e+07,-6.32038e+06
3130.9,1.26084e+07,-6.3807e+06
3141,1.26214e+07,-6.44093e+06
3151.1,1.26342e+07,-6.50107e+06
3161.2,1.26469e+07,-6.56112e+06
3171.3,1.26594e+07,-6.62107e+06
3181.4,1.26717e+07,-6.68093e+06
3191.5,1.26838e+07,-6.7407e+06
3201.6,1.26958e+07,-6.80038e+06
3211.7,1.27075e+07,-6.85997e+06
3221.8,1.27192e+07,-6.91946e+06
3231.9,1.27306e+07,-6.97886e+06
3242,1.27419e+07,-7.03816e+06
3252.1,1.2753e+07,-7.09738e+06
3262.2,1.27639e+07,-7.1565e+06
3272.3,1.27747e+07,-7.21553e+06
3282.4,1.27853e+07,-7.27446e+06
3292.5,1.27957e+07,-7.3333e+06
3302.6,1.2806e+07,-7.39205e+06
3312.7,1.28162e+07,-7.45071e+06
3322.8,1.28261e+07,-7.50927e+06
3332.9,1.28359e+07,-7.56774e+06
3343,1.28456e+07,-7.62612e+06
3353.1,1.28551e+07,-7.68441e+06
3363.2,1.28644e+07,-7.7426e+06
3373.3,1.28736e+07,-7.8007e+06
3383.4,1.28826e+07,-7.8587e+06
3393.5,1.28915e+07,-7.91661e+06
3403.6,1.29002e+07,-7.97443e+06
3413.7,1.29088e+07,-8.03216e+06
3423.8,1.29172e+07,-8.08979e+06
3433.9,1.29255e+07,-8.14733e+06
3444,1.29336e+07,-8.20478e+06
3454.1,1.29416e+07,-8.26214e+06
3464.2,1.29494e+07,-8.3194e+06
3474.3,1.29571e+07,-8.37657e+06
3484.4,1.29646e+07,-8.43364e+06
3494.5,1.2972e+07,-8.49063e+06
3504.6,1.29793e+07,-8.54752e+06
3514.7,1.29864e+07,-8.60432e+06
3524.8,1.29934e+07,-8.66102e+06
3534.9,1.30003e+07,-8.71764e+06
3545,1.3007e+07,-8.77416e+06
3555.1,1.30135e+07,-8.83059e+06
3565.2,1.302e+07,-8.88693e+06
3575.3,1.30263e+07,-8.94317e+06
3585.4,1.30324e+07,-8.99932e+06
3595.5,1.30385e+07,-9.05538e+06
3605.6,1.30444e+07,-9.11135e+06
3615.7,1.30501e+07,-9.16723e+06
3625.8,1.30558e+07,-9.22301e+06
3635.9,1.30613e+07,-9.2787e+06
3646,1.30666e+07,-9.3343e+06
