t,x,y
17.3,0.000821233,6.37202e+06
17.4,0.000830831,6.37203e+06
17.5,0.000840487,6.37204e+06
17.6,0.0008502,6.37205e+06
17.7,0.000859971,6.37207e+06
17.8,0.0008698,6.37208e+06
17.9,0.000879687,6.37209e+06
18,0.000889632,6.37211e+06
18.1,0.000899634,6.37212e+06
18.2,0.000909695,6.37213e+06
18.3,0.000919813,6.37214e+06
18.4,0.000929989,6.37216e+06
18.5,0.000940224,6.37217e+06
18.6,0.000950516,6.37218e+06
18.7,0.000960866,6.3722e+06
18.8,0.000971275,6.37221e+06
18.9,0.000981741,6.37222e+06
19,0.000992266,6.37224e+06
19.1,0.00100285,6.37225e+06
19.2,0.00101349,6.37226e+06
19.3,0.00102419,6.37228e+06
19.4,0.00103495,6.37229e+06
19.5,0.00104576,6.3723e+06
19.6,0.00105664,6.37232e+06
19.7,0.00106757,6.37233e+06
19.8,0.00107856,6.37235e+06
19.9,0.00108961,6.37236e+06
20,0.00110072,6.37238e+06
20.1,0.00111189,6.37239e+06
20.2,0.00112311,6.3724e+06
20.3,0.0011344,6.37242e+06
20.4,0.00114574,6.37243e+06
20.5,0.00115714,6.37245e+06
20.6,0.0011686,6.37246e+06
20.7,0.00118012,6.37248e+06
20.8,0.0011917,6.37249e+06
20.9,0.00120334,6.37251e+06
21,0.00121503,6.37252e+06
21.1,0.00122679,6.37254e+06
21.2,0.0012386,6.37255e+06
21.3,0.00125047,6.37257e+06
21.4,0.00126241,6.37258e+06
21.5,0.0012744,6.3726e+06
21.6,0.00128645,6.37261e+06
21.7,0.00129855,6.37263e+06
21.8,0.00131072,6.37265e+06
21.9,0.00132295,6.37266e+06
22,0.00133524,6.37268e+06
22.1,0.00134758,6.37269e+06
22.2,0.00135999,6.37271e+06
22.3,0.00137245,6.37273e+06
22.4,0.00138497,6.37274e+06
22.5,0.00139756,6.37276e+06
22.6,0.0014102,6.37277e+06
22.7,0.0014229,6.37279e+06
22.8,0.00143566,6.37281e+06
22.9,0.00144849,6.37282e+06
23,0.00146137,6.37284e+06
23.1,0.00147431,6.37286e+06
23.2,0.00148731,6.37287e+06
23.3,0.00150037,6.37289e+06
23.4,0.00151349,6.37291e+06
23.5,0.00152667,6.37293e+06
23.6,0.0015399,6.37294e+06
23.7,0.0015532,6.37296e+06
